zipcode,unemployment rate,median household income,white,black,hispanic,asian,poverty rate,total population,white rate,black rate,hispanic rate,asian rate,average family size
62246,2.4,58532,8304,969,467,183,17.4,10092,82.28299643,9.601664685,4.627427665,1.813317479,2.95
62248,2,47083,348,0,0,3,10.5,351,99.14529915,0,0,0.854700855,2.98
62249,2.7,62677,14448,174,658,220,11.7,15520,93.09278351,1.121134021,4.239690722,1.417525773,3.14
62250,4.4,38750,492,0,2,0,12.3,509,96.66011788,0,0.392927308,0,3.02
62253,2.8,32500,559,2,11,0,23.3,574,97.38675958,0.348432056,1.916376307,0,2.91
62254,0.6,63894,4901,866,60,0,12.9,5975,82.0251046,14.49372385,1.0041841,0,2.63
62255,3.8,62847,1262,9,38,51,5,1364,92.52199413,0.659824047,2.785923754,3.739002933,2.83
62257,6.2,48542,2643,8,0,0,13.1,2666,99.13728432,0.300075019,0,0,3.72
62258,5.7,76194,8382,331,208,119,7.8,9468,88.52978454,3.495986481,2.19687368,1.25686523,2.77
62260,4.8,72288,7017,39,100,0,5.8,7282,96.36088987,0.535567152,1.373249107,0,3.26
62261,0,45795,126,0,0,0,0,126,100,0,0,0,2.99
62262,3.2,37222,1423,40,0,62,20.3,1556,91.45244216,2.570694087,0,3.984575835,3.35
62263,1.8,47467,4818,19,70,50,11.1,4955,97.23511604,0.38345106,1.41271443,1.009081736,2.72
62264,2,62330,3533,15,47,0,12,3613,97.7857736,0.415167451,1.300858013,0,2.96
62265,3.2,76156,4226,150,130,80,5.9,4586,92.15002181,3.270824248,2.834714348,1.744439599,3.02
62266,20.1,0,173,0,0,0,0,173,100,0,0,0,2.99
62268,6,70000,664,0,2,1,4,674,98.51632047,0,0.296735905,0.148367953,4.18
62269,4.8,80179,24098,4112,1236,1072,8,31681,76.06451817,12.97938828,3.901392002,3.383731574,3.04
62271,3.2,60938,1977,20,28,0,6.5,2062,95.87778855,0.969932105,1.357904947,0,3.22
62272,2.8,42853,1589,21,102,5,10.6,1718,92.49126892,1.222351572,5.937136205,0.291036088,2.8
